snapshot_index,case_name,dataset_split,time_s,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m
27,surrGrid_H0240_obsH0030_x0220,training_grid,0.675,0.24,0.03,0.22,0.024
28,surrGrid_H0240_obsH0030_x0220,training_grid,0.7,0.24,0.03,0.22,0.024
29,surrGrid_H0240_obsH0030_x0220,training_grid,0.725,0.24,0.03,0.22,0.024
30,surrGrid_H0240_obsH0030_x0220,training_grid,0.75,0.24,0.03,0.22,0.024
31,surrGrid_H0240_obsH0030_x0220,training_grid,0.775,0.24,0.03,0.22,0.024
32,surrGrid_H0240_obsH0030_x0220,training_grid,0.8,0.24,0.03,0.22,0.024
33,surrGrid_H0240_obsH0030_x0220,training_grid,0.825,0.24,0.03,0.22,0.024
34,surrGrid_H0240_obsH0030_x0220,training_grid,0.85,0.24,0.03,0.22,0.024
35,surrGrid_H0240_obsH0030_x0220,training_grid,0.875,0.24,0.03,0.22,0.024
36,surrGrid_H0240_obsH0030_x0220,training_grid,0.9,0.24,0.03,0.22,0.024
37,surrGrid_H0240_obsH0030_x0220,training_grid,0.925,0.24,0.03,0.22,0.024
38,surrGrid_H0240_obsH0030_x0220,training_grid,0.95,0.24,0.03,0.22,0.024
39,surrGrid_H0240_obsH0030_x0220,training_grid,0.975,0.24,0.03,0.22,0.024
40,surrGrid_H0240_obsH0030_x0220,training_grid,1.0,0.24,0.03,0.22,0.024
41,surrGrid_H0240_obsH0030_x0220,training_grid,1.025,0.24,0.03,0.22,0.024
42,surrGrid_H0240_obsH0030_x0220,training_grid,1.05,0.24,0.03,0.22,0.024
43,surrGrid_H0240_obsH0030_x0220,training_grid,1.075,0.24,0.03,0.22,0.024
44,surrGrid_H0240_obsH0030_x0220,training_grid,1.1,0.24,0.03,0.22,0.024
45,surrGrid_H0240_obsH0030_x0220,training_grid,1.125,0.24,0.03,0.22,0.024
46,surrGrid_H0240_obsH0030_x0220,training_grid,1.15,0.24,0.03,0.22,0.024
47,surrGrid_H0240_obsH0030_x0220,training_grid,1.175,0.24,0.03,0.22,0.024
48,surrGrid_H0240_obsH0030_x0220,training_grid,1.2,0.24,0.03,0.22,0.024
49,surrGrid_H0240_obsH0030_x0220,training_grid,1.225,0.24,0.03,0.22,0.024
50,surrGrid_H0240_obsH0030_x0220,training_grid,1.25,0.24,0.03,0.22,0.024
51,surrGrid_H0240_obsH0030_x0220,training_grid,1.275,0.24,0.03,0.22,0.024
52,surrGrid_H0240_obsH0030_x0220,training_grid,1.3,0.24,0.03,0.22,0.024
53,surrGrid_H0240_obsH0030_x0220,training_grid,1.325,0.24,0.03,0.22,0.024
54,surrGrid_H0240_obsH0030_x0220,training_grid,1.35,0.24,0.03,0.22,0.024
55,surrGrid_H0240_obsH0030_x0220,training_grid,1.375,0.24,0.03,0.22,0.024
56,surrGrid_H0240_obsH0030_x0220,training_grid,1.4,0.24,0.03,0.22,0.024
57,surrGrid_H0240_obsH0030_x0220,training_grid,1.425,0.24,0.03,0.22,0.024
58,surrGrid_H0240_obsH0030_x0220,training_grid,1.45,0.24,0.03,0.22,0.024
59,surrGrid_H0240_obsH0030_x0220,training_grid,1.475,0.24,0.03,0.22,0.024
60,surrGrid_H0240_obsH0030_x0220,training_grid,1.5,0.24,0.03,0.22,0.024
61,surrGrid_H0240_obsH0030_x0250,training_grid,0.0,0.24,0.03,0.25,0.024
62,surrGrid_H0240_obsH0030_x0250,training_grid,0.025,0.24,0.03,0.25,0.024
63,surrGrid_H0240_obsH0030_x0250,training_grid,0.05,0.24,0.03,0.25,0.024
64,surrGrid_H0240_obsH0030_x0250,training_grid,0.075,0.24,0.03,0.25,0.024
65,surrGrid_H0240_obsH0030_x0250,training_grid,0.1,0.24,0.03,0.25,0.024
66,surrGrid_H0240_obsH0030_x0250,training_grid,0.125,0.24,0.03,0.25,0.024
67,surrGrid_H0240_obsH0030_x0250,training_grid,0.15,0.24,0.03,0.25,0.024
68,surrGrid_H0240_obsH0030_x0250,training_grid,0.175,0.24,0.03,0.25,0.024
69,surrGrid_H0240_obsH0030_x0250,training_grid,0.2,0.24,0.03,0.25,0.024
70,surrGrid_H0240_obsH0030_x0250,training_grid,0.225,0.24,0.03,0.25,0.024
71,surrGrid_H0240_obsH0030_x0250,training_grid,0.25,0.24,0.03,0.25,0.024
72,surrGrid_H0240_obsH0030_x0250,training_grid,0.275,0.24,0.03,0.25,0.024
73,surrGrid_H0240_obsH0030_x0250,training_grid,0.3,0.24,0.03,0.25,0.024
74,surrGrid_H0240_obsH0030_x0250,training_grid,0.325,0.24,0.03,0.25,0.024
75,surrGrid_H0240_obsH0030_x0250,training_grid,0.35,0.24,0.03,0.25,0.024
76,surrGrid_H0240_obsH0030_x0250,training_grid,0.375,0.24,0.03,0.25,0.024
77,surrGrid_H0240_obsH0030_x0250,training_grid,0.4,0.24,0.03,0.25,0.024
78,surrGrid_H0240_obsH0030_x0250,training_grid,0.425,0.24,0.03,0.25,0.024
79,surrGrid_H0240_obsH0030_x0250,training_grid,0.45,0.24,0.03,0.25,0.024
80,surrGrid_H0240_obsH0030_x0250,training_grid,0.475,0.24,0.03,0.25,0.024
81,surrGrid_H0240_obsH0030_x0250,training_grid,0.5,0.24,0.03,0.25,0.024
82,surrGrid_H0240_obsH0030_x0250,training_grid,0.525,0.24,0.03,0.25,0.024
83,surrGrid_H0240_obsH0030_x0250,training_grid,0.55,0.24,0.03,0.25,0.024
84,surrGrid_H0240_obsH0030_x0250,training_grid,0.575,0.24,0.03,0.25,0.024
85,surrGrid_H0240_obsH0030_x0250,training_grid,0.6,0.24,0.03,0.25,0.024
86,surrGrid_H0240_obsH0030_x0250,training_grid,0.625,0.24,0.03,0.25,0.024
87,surrGrid_H0240_obsH0030_x0250,training_grid,0.65,0.24,0.03,0.25,0.024
88,surrGrid_H0240_obsH0030_x0250,training_grid,0.675,0.24,0.03,0.25,0.024
89,surrGrid_H0240_obsH0030_x0250,training_grid,0.7,0.24,0.03,0.25,0.024
90,surrGrid_H0240_obsH0030_x0250,training_grid,0.725,0.24,0.03,0.25,0.024
91,surrGrid_H0240_obsH0030_x0250,training_grid,0.75,0.24,0.03,0.25,0.024
92,surrGrid_H0240_obsH0030_x0250,training_grid,0.775,0.24,0.03,0.25,0.024
93,surrGrid_H0240_obsH0030_x0250,training_grid,0.8,0.24,0.03,0.25,0.024
94,surrGrid_H0240_obsH0030_x0250,training_grid,0.825,0.24,0.03,0.25,0.024
95,surrGrid_H0240_obsH0030_x0250,training_grid,0.85,0.24,0.03,0.25,0.024
96,surrGrid_H0240_obsH0030_x0250,training_grid,0.875,0.24,0.03,0.25,0.024
97,surrGrid_H0240_obsH0030_x0250,training_grid,0.9,0.24,0.03,0.25,0.024
98,surrGrid_H0240_obsH0030_x0250,training_grid,0.925,0.24,0.03,0.25,0.024
99,surrGrid_H0240_obsH0030_x0250,training_grid,0.95,0.24,0.03,0.25,0.024
100,surrGrid_H0240_obsH0030_x0250,training_grid,0.975,0.24,0.03,0.25,0.024
101,surrGrid_H0240_obsH0030_x0250,training_grid,1.0,0.24,0.03,0.25,0.024
102,surrGrid_H0240_obsH0030_x0250,training_grid,1.025,0.24,0.03,0.25,0.024
103,surrGrid_H0240_obsH0030_x0250,training_grid,1.05,0.24,0.03,0.25,0.024
104,surrGrid_H0240_obsH0030_x0250,training_grid,1.075,0.24,0.03,0.25,0.024
105,surrGrid_H0240_obsH0030_x0250,training_grid,1.1,0.24,0.03,0.25,0.024
106,surrGrid_H0240_obsH0030_x0250,training_grid,1.125,0.24,0.03,0.25,0.024
107,surrGrid_H0240_obsH0030_x0250,training_grid,1.15,0.24,0.03,0.25,0.024
108,surrGrid_H0240_obsH0030_x0250,training_grid,1.175,0.24,0.03,0.25,0.024
109,surrGrid_H0240_obsH0030_x0250,training_grid,1.2,0.24,0.03,0.25,0.024
110,surrGrid_H0240_obsH0030_x0250,training_grid,1.225,0.24,0.03,0.25,0.024
111,surrGrid_H0240_obsH0030_x0250,training_grid,1.25,0.24,0.03,0.25,0.024
112,surrGrid_H0240_obsH0030_x0250,training_grid,1.275,0.24,0.03,0.25,0.024
113,surrGrid_H0240_obsH0030_x0250,training_grid,1.3,0.24,0.03,0.25,0.024
114,surrGrid_H0240_obsH0030_x0250,training_grid,1.325,0.24,0.03,0.25,0.024
115,surrGrid_H0240_obsH0030_x0250,training_grid,1.35,0.24,0.03,0.25,0.024
116,surrGrid_H0240_obsH0030_x0250,training_grid,1.375,0.24,0.03,0.25,0.024
117,surrGrid_H0240_obsH0030_x0250,training_grid,1.4,0.24,0.03,0.25,0.024
118,surrGrid_H0240_obsH0030_x0250,training_grid,1.425,0.24,0.03,0.25,0.024
119,surrGrid_H0240_obsH0030_x0250,training_grid,1.45,0.24,0.03,0.25,0.024
120,surrGrid_H0240_obsH0030_x0250,training_grid,1.475,0.24,0.03,0.25,0.024
121,surrGrid_H0240_obsH0030_x0250,training_grid,1.5,0.24,0.03,0.25,0.024
122,surrGrid_H0240_obsH0030_x0275,training_grid,0.0,0.24,0.03,0.275,0.024
123,surrGrid_H0240_obsH0030_x0275,training_grid,0.025,0.24,0.03,0.275,0.024
124,surrGrid_H0240_obsH0030_x0275,training_grid,0.05,0.24,0.03,0.275,0.024
125,surrGrid_H0240_obsH0030_x0275,training_grid,0.075,0.24,0.03,0.275,0.024
126,surrGrid_H0240_obsH0030_x0275,training_grid,0.1,0.24,0.03,0.275,0.024
127,surrGrid_H0240_obsH0030_x0275,training_grid,0.125,0.24,0.03,0.275,0.024
128,surrGrid_H0240_obsH0030_x0275,training_grid,0.15,0.24,0.03,0.275,0.024
129,surrGrid_H0240_obsH0030_x0275,training_grid,0.175,0.24,0.03,0.275,0.024
130,surrGrid_H0240_obsH0030_x0275,training_grid,0.2,0.24,0.03,0.275,0.024
131,surrGrid_H0240_obsH0030_x0275,training_grid,0.225,0.24,0.03,0.275,0.024
132,surrGrid_H0240_obsH0030_x0275,training_grid,0.25,0.24,0.03,0.275,0.024
133,surrGrid_H0240_obsH0030_x0275,training_grid,0.275,0.24,0.03,0.275,0.024
134,surrGrid_H0240_obsH0030_x0275,training_grid,0.3,0.24,0.03,0.275,0.024
135,surrGrid_H0240_obsH0030_x0275,training_grid,0.325,0.24,0.03,0.275,0.024
136,surrGrid_H0240_obsH0030_x0275,training_grid,0.35,0.24,0.03,0.275,0.024
137,surrGrid_H0240_obsH0030_x0275,training_grid,0.375,0.24,0.03,0.275,0.024
138,surrGrid_H0240_obsH0030_x0275,training_grid,0.4,0.24,0.03,0.275,0.024
139,surrGrid_H0240_obsH0030_x0275,training_grid,0.425,0.24,0.03,0.275,0.024
140,surrGrid_H0240_obsH0030_x0275,training_grid,0.45,0.24,0.03,0.275,0.024
141,surrGrid_H0240_obsH0030_x0275,training_grid,0.475,0.24,0.03,0.275,0.024
142,surrGrid_H0240_obsH0030_x0275,training_grid,0.5,0.24,0.03,0.275,0.024
143,surrGrid_H0240_obsH0030_x0275,training_grid,0.525,0.24,0.03,0.275,0.024
144,surrGrid_H0240_obsH0030_x0275,training_grid,0.55,0.24,0.03,0.275,0.024
145,surrGrid_H0240_obsH0030_x0275,training_grid,0.575,0.24,0.03,0.275,0.024
146,surrGrid_H0240_obsH0030_x0275,training_grid,0.6,0.24,0.03,0.275,0.024
147,surrGrid_H0240_obsH0030_x0275,training_grid,0.625,0.24,0.03,0.275,0.024
148,surrGrid_H0240_obsH0030_x0275,training_grid,0.65,0.24,0.03,0.275,0.024
149,surrGrid_H0240_obsH0030_x0275,training_grid,0.675,0.24,0.03,0.275,0.024
150,surrGrid_H0240_obsH0030_x0275,training_grid,0.7,0.24,0.03,0.275,0.024
151,surrGrid_H0240_obsH0030_x0275,training_grid,0.725,0.24,0.03,0.275,0.024
152,surrGrid_H0240_obsH0030_x0275,training_grid,0.75,0.24,0.03,0.275,0.024
153,surrGrid_H0240_obsH0030_x0275,training_grid,0.775,0.24,0.03,0.275,0.024
154,surrGrid_H0240_obsH0030_x0275,training_grid,0.8,0.24,0.03,0.275,0.024
155,surrGrid_H0240_obsH0030_x0275,training_grid,0.825,0.24,0.03,0.275,0.024
156,surrGrid_H0240_obsH0030_x0275,training_grid,0.85,0.24,0.03,0.275,0.024
157,surrGrid_H0240_obsH0030_x0275,training_grid,0.875,0.24,0.03,0.275,0.024
158,surrGrid_H0240_obsH0030_x0275,training_grid,0.9,0.24,0.03,0.275,0.024
159,surrGrid_H0240_obsH0030_x0275,training_grid,0.925,0.24,0.03,0.275,0.024
160,surrGrid_H0240_obsH0030_x0275,training_grid,0.95,0.24,0.03,0.275,0.024
161,surrGrid_H0240_obsH0030_x0275,training_grid,0.975,0.24,0.03,0.275,0.024
162,surrGrid_H0240_obsH0030_x0275,training_grid,1.0,0.24,0.03,0.275,0.024
163,surrGrid_H0240_obsH0030_x0275,training_grid,1.025,0.24,0.03,0.275,0.024
164,surrGrid_H0240_obsH0030_x0275,training_grid,1.05,0.24,0.03,0.275,0.024
165,surrGrid_H0240_obsH0030_x0275,training_grid,1.075,0.24,0.03,0.275,0.024
166,surrGrid_H0240_obsH0030_x0275,training_grid,1.1,0.24,0.03,0.275,0.024
167,surrGrid_H0240_obsH0030_x0275,training_grid,1.125,0.24,0.03,0.275,0.024
168,surrGrid_H0240_obsH0030_x0275,training_grid,1.15,0.24,0.03,0.275,0.024
169,surrGrid_H0240_obsH0030_x0275,training_grid,1.175,0.24,0.03,0.275,0.024
170,surrGrid_H0240_obsH0030_x0275,training_grid,1.2,0.24,0.03,0.275,0.024
171,surrGrid_H0240_obsH0030_x0275,training_grid,1.225,0.24,0.03,0.275,0.024
172,surrGrid_H0240_obsH0030_x0275,training_grid,1.25,0.24,0.03,0.275,0.024
173,surrGrid_H0240_obsH0030_x0275,training_grid,1.275,0.24,0.03,0.275,0.024
174,surrGrid_H0240_obsH0030_x0275,training_grid,1.3,0.24,0.03,0.275,0.024
175,surrGrid_H0240_obsH0030_x0275,training_grid,1.325,0.24,0.03,0.275,0.024
176,surrGrid_H0240_obsH0030_x0275,training_grid,1.35,0.24,0.03,0.275,0.024
177,surrGrid_H0240_obsH0030_x0275,training_grid,1.375,0.24,0.03,0.275,0.024
178,surrGrid_H0240_obsH0030_x0275,training_grid,1.4,0.24,0.03,0.275,0.024
179,surrGrid_H0240_obsH0030_x0275,training_grid,1.425,0.24,0.03,0.275,0.024
180,surrGrid_H0240_obsH0030_x0275,training_grid,1.45,0.24,0.03,0.275,0.024
181,surrGrid_H0240_obsH0030_x0275,training_grid,1.475,0.24,0.03,0.275,0.024
182,surrGrid_H0240_obsH0030_x0275,training_grid,1.5,0.24,0.03,0.275,0.024
183,surrGrid_H0240_obsH0030_x0292,training_grid,0.0,0.24,0.03,0.292,0.024
184,surrGrid_H0240_obsH0030_x0292,training_grid,0.025,0.24,0.03,0.292,0.024
185,surrGrid_H0240_obsH0030_x0292,training_grid,0.05,0.24,0.03,0.292,0.024
186,surrGrid_H0240_obsH0030_x0292,training_grid,0.075,0.24,0.03,0.292,0.024
187,surrGrid_H0240_obsH0030_x0292,training_grid,0.1,0.24,0.03,0.292,0.024
188,surrGrid_H0240_obsH0030_x0292,training_grid,0.125,0.24,0.03,0.292,0.024
189,surrGrid_H0240_obsH0030_x0292,training_grid,0.15,0.24,0.03,0.292,0.024
190,surrGrid_H0240_obsH0030_x0292,training_grid,0.175,0.24,0.03,0.292,0.024
191,surrGrid_H0240_obsH0030_x0292,training_grid,0.2,0.24,0.03,0.292,0.024
192,surrGrid_H0240_obsH0030_x0292,training_grid,0.225,0.24,0.03,0.292,0.024
193,surrGrid_H0240_obsH0030_x0292,training_grid,0.25,0.24,0.03,0.292,0.024
194,surrGrid_H0240_obsH0030_x0292,training_grid,0.275,0.24,0.03,0.292,0.024
195,surrGrid_H0240_obsH0030_x0292,training_grid,0.3,0.24,0.03,0.292,0.024
196,surrGrid_H0240_obsH0030_x0292,training_grid,0.325,0.24,0.03,0.292,0.024
197,surrGrid_H0240_obsH0030_x0292,training_grid,0.35,0.24,0.03,0.292,0.024
198,surrGrid_H0240_obsH0030_x0292,training_grid,0.375,0.24,0.03,0.292,0.024
199,surrGrid_H0240_obsH0030_x0292,training_grid,0.4,0.24,0.03,0.292,0.024
200,surrGrid_H0240_obsH0030_x0292,training_grid,0.425,0.24,0.03,0.292,0.024
201,surrGrid_H0240_obsH0030_x0292,training_grid,0.45,0.24,0.03,0.292,0.024
202,surrGrid_H0240_obsH0030_x0292,training_grid,0.475,0.24,0.03,0.292,0.024
203,surrGrid_H0240_obsH0030_x0292,training_grid,0.5,0.24,0.03,0.292,0.024
204,surrGrid_H0240_obsH0030_x0292,training_grid,0.525,0.24,0.03,0.292,0.024
205,surrGrid_H0240_obsH0030_x0292,training_grid,0.55,0.24,0.03,0.292,0.024
206,surrGrid_H0240_obsH0030_x0292,training_grid,0.575,0.24,0.03,0.292,0.024
207,surrGrid_H0240_obsH0030_x0292,training_grid,0.6,0.24,0.03,0.292,0.024
208,surrGrid_H0240_obsH0030_x0292,training_grid,0.625,0.24,0.03,0.292,0.024
209,surrGrid_H0240_obsH0030_x0292,training_grid,0.65,0.24,0.03,0.292,0.024
210,surrGrid_H0240_obsH0030_x0292,training_grid,0.675,0.24,0.03,0.292,0.024
211,surrGrid_H0240_obsH0030_x0292,training_grid,0.7,0.24,0.03,0.292,0.024
212,surrGrid_H0240_obsH0030_x0292,training_grid,0.725,0.24,0.03,0.292,0.024
213,surrGrid_H0240_obsH0030_x0292,training_grid,0.75,0.24,0.03,0.292,0.024
214,surrGrid_H0240_obsH0030_x0292,training_grid,0.775,0.24,0.03,0.292,0.024
215,surrGrid_H0240_obsH0030_x0292,training_grid,0.8,0.24,0.03,0.292,0.024
216,surrGrid_H0240_obsH0030_x0292,training_grid,0.825,0.24,0.03,0.292,0.024
217,surrGrid_H0240_obsH0030_x0292,training_grid,0.85,0.24,0.03,0.292,0.024
218,surrGrid_H0240_obsH0030_x0292,training_grid,0.875,0.24,0.03,0.292,0.024
219,surrGrid_H0240_obsH0030_x0292,training_grid,0.9,0.24,0.03,0.292,0.024
220,surrGrid_H0240_obsH0030_x0292,training_grid,0.925,0.24,0.03,0.292,0.024
221,surrGrid_H0240_obsH0030_x0292,training_grid,0.95,0.24,0.03,0.292,0.024
222,surrGrid_H0240_obsH0030_x0292,training_grid,0.975,0.24,0.03,0.292,0.024
223,surrGrid_H0240_obsH0030_x0292,training_grid,1.0,0.24,0.03,0.292,0.024
224,surrGrid_H0240_obsH0030_x0292,training_grid,1.025,0.24,0.03,0.292,0.024
225,surrGrid_H0240_obsH0030_x0292,training_grid,1.05,0.24,0.03,0.292,0.024
226,surrGrid_H0240_obsH0030_x0292,training_grid,1.075,0.24,0.03,0.292,0.024
227,surrGrid_H0240_obsH0030_x0292,training_grid,1.1,0.24,0.03,0.292,0.024
228,surrGrid_H0240_obsH0030_x0292,training_grid,1.125,0.24,0.03,0.292,0.024
229,surrGrid_H0240_obsH0030_x0292,training_grid,1.15,0.24,0.03,0.292,0.024
230,surrGrid_H0240_obsH0030_x0292,training_grid,1.175,0.24,0.03,0.292,0.024
231,surrGrid_H0240_obsH0030_x0292,training_grid,1.2,0.24,0.03,0.292,0.024
232,surrGrid_H0240_obsH0030_x0292,training_grid,1.225,0.24,0.03,0.292,0.024
233,surrGrid_H0240_obsH0030_x0292,training_grid,1.25,0.24,0.03,0.292,0.024
234,surrGrid_H0240_obsH0030_x0292,training_grid,1.275,0.24,0.03,0.292,0.024
235,surrGrid_H0240_obsH0030_x0292,training_grid,1.3,0.24,0.03,0.292,0.024
236,surrGrid_H0240_obsH0030_x0292,training_grid,1.325,0.24,0.03,0.292,0.024
237,surrGrid_H0240_obsH0030_x0292,training_grid,1.35,0.24,0.03,0.292,0.024
238,surrGrid_H0240_obsH0030_x0292,training_grid,1.375,0.24,0.03,0.292,0.024
239,surrGrid_H0240_obsH0030_x0292,training_grid,1.4,0.24,0.03,0.292,0.024
240,surrGrid_H0240_obsH0030_x0292,training_grid,1.425,0.24,0.03,0.292,0.024
241,surrGrid_H0240_obsH0030_x0292,training_grid,1.45,0.24,0.03,0.292,0.024
242,surrGrid_H0240_obsH0030_x0292,training_grid,1.475,0.24,0.03,0.292,0.024
243,surrGrid_H0240_obsH0030_x0292,training_grid,1.5,0.24,0.03,0.292,0.024
244,surrGrid_H0240_obsH0030_x0320,training_grid,0.0,0.24,0.03,0.32,0.024
245,surrGrid_H0240_obsH0030_x0320,training_grid,0.025,0.24,0.03,0.32,0.024
246,surrGrid_H0240_obsH0030_x0320,training_grid,0.05,0.24,0.03,0.32,0.024
247,surrGrid_H0240_obsH0030_x0320,training_grid,0.075,0.24,0.03,0.32,0.024
248,surrGrid_H0240_obsH0030_x0320,training_grid,0.1,0.24,0.03,0.32,0.024
249,surrGrid_H0240_obsH0030_x0320,training_grid,0.125,0.24,0.03,0.32,0.024
250,surrGrid_H0240_obsH0030_x0320,training_grid,0.15,0.24,0.03,0.32,0.024
251,surrGrid_H0240_obsH0030_x0320,training_grid,0.175,0.24,0.03,0.32,0.024
252,surrGrid_H0240_obsH0030_x0320,training_grid,0.2,0.24,0.03,0.32,0.024
253,surrGrid_H0240_obsH0030_x0320,training_grid,0.225,0.24,0.03,0.32,0.024
254,surrGrid_H0240_obsH0030_x0320,training_grid,0.25,0.24,0.03,0.32,0.024
255,surrGrid_H0240_obsH0030_x0320,training_grid,0.275,0.24,0.03,0.32,0.024
256,surrGrid_H0240_obsH0030_x0320,training_grid,0.3,0.24,0.03,0.32,0.024
257,surrGrid_H0240_obsH0030_x0320,training_grid,0.325,0.24,0.03,0.32,0.024
258,surrGrid_H0240_obsH0030_x0320,training_grid,0.35,0.24,0.03,0.32,0.024
259,surrGrid_H0240_obsH0030_x0320,training_grid,0.375,0.24,0.03,0.32,0.024
260,surrGrid_H0240_obsH0030_x0320,training_grid,0.4,0.24,0.03,0.32,0.024
261,surrGrid_H0240_obsH0030_x0320,training_grid,0.425,0.24,0.03,0.32,0.024
262,surrGrid_H0240_obsH0030_x0320,training_grid,0.45,0.24,0.03,0.32,0.024
263,surrGrid_H0240_obsH0030_x0320,training_grid,0.475,0.24,0.03,0.32,0.024
264,surrGrid_H0240_obsH0030_x0320,training_grid,0.5,0.24,0.03,0.32,0.024
265,surrGrid_H0240_obsH0030_x0320,training_grid,0.525,0.24,0.03,0.32,0.024
266,surrGrid_H0240_obsH0030_x0320,training_grid,0.55,0.24,0.03,0.32,0.024
267,surrGrid_H0240_obsH0030_x0320,training_grid,0.575,0.24,0.03,0.32,0.024
268,surrGrid_H0240_obsH0030_x0320,training_grid,0.6,0.24,0.03,0.32,0.024
269,surrGrid_H0240_obsH0030_x0320,training_grid,0.625,0.24,0.03,0.32,0.024
270,surrGrid_H0240_obsH0030_x0320,training_grid,0.65,0.24,0.03,0.32,0.024
271,surrGrid_H0240_obsH0030_x0320,training_grid,0.675,0.24,0.03,0.32,0.024
272,surrGrid_H0240_obsH0030_x0320,training_grid,0.7,0.24,0.03,0.32,0.024
273,surrGrid_H0240_obsH0030_x0320,training_grid,0.725,0.24,0.03,0.32,0.024
274,surrGrid_H0240_obsH0030_x0320,training_grid,0.75,0.24,0.03,0.32,0.024
275,surrGrid_H0240_obsH0030_x0320,training_grid,0.775,0.24,0.03,0.32,0.024
276,surrGrid_H0240_obsH0030_x0320,training_grid,0.8,0.24,0.03,0.32,0.024
277,surrGrid_H0240_obsH0030_x0320,training_grid,0.825,0.24,0.03,0.32,0.024
278,surrGrid_H0240_obsH0030_x0320,training_grid,0.85,0.24,0.03,0.32,0.024
279,surrGrid_H0240_obsH0030_x0320,training_grid,0.875,0.24,0.03,0.32,0.024
280,surrGrid_H0240_obsH0030_x0320,training_grid,0.9,0.24,0.03,0.32,0.024
281,surrGrid_H0240_obsH0030_x0320,training_grid,0.925,0.24,0.03,0.32,0.024
282,surrGrid_H0240_obsH0030_x0320,training_grid,0.95,0.24,0.03,0.32,0.024
283,surrGrid_H0240_obsH0030_x0320,training_grid,0.975,0.24,0.03,0.32,0.024
284,surrGrid_H0240_obsH0030_x0320,training_grid,1.0,0.24,0.03,0.32,0.024
285,surrGrid_H0240_obsH0030_x0320,training_grid,1.025,0.24,0.03,0.32,0.024
286,surrGrid_H0240_obsH0030_x0320,training_grid,1.05,0.24,0.03,0.32,0.024
287,surrGrid_H0240_obsH0030_x0320,training_grid,1.075,0.24,0.03,0.32,0.024
288,surrGrid_H0240_obsH0030_x0320,training_grid,1.1,0.24,0.03,0.32,0.024
289,surrGrid_H0240_obsH0030_x0320,training_grid,1.125,0.24,0.03,0.32,0.024
290,surrGrid_H0240_obsH0030_x0320,training_grid,1.15,0.24,0.03,0.32,0.024
291,surrGrid_H0240_obsH0030_x0320,training_grid,1.175,0.24,0.03,0.32,0.024
292,surrGrid_H0240_obsH0030_x0320,training_grid,1.2,0.24,0.03,0.32,0.024
293,surrGrid_H0240_obsH0030_x0320,training_grid,1.225,0.24,0.03,0.32,0.024
294,surrGrid_H0240_obsH0030_x0320,training_grid,1.25,0.24,0.03,0.32,0.024
